,use
2016-06-19 18:54:58,5.155766667
2016-06-19 18:55:58,0.503433333
2016-06-19 19:00:58,3.578233333
2016-06-19 20:35:58,4.506166667
2016-06-19 20:46:58,5.38075
2016-06-19 20:47:58,0.990133333
2016-06-19 20:48:58,5.085566667
2016-06-19 20:49:58,0.789133333
2016-06-19 20:54:58,4.27245
2016-06-19 21:03:58,3.563333333
2016-06-19 21:10:58,0.413133333
2016-06-19 21:28:58,5.78405
2016-06-19 21:29:58,3.0961
2016-06-19 21:59:58,4.473
2016-06-19 22:00:58,0.459216667
2016-06-20 00:31:58,5.85315
2016-06-20 00:32:58,0.8233
2016-06-20 03:06:58,5.247466667
2016-06-20 03:07:58,0.945783333
2016-06-20 05:40:58,5.017633333
2016-06-20 05:41:58,0.90105
2016-06-20 08:14:58,4.395
2016-06-20 08:15:58,1.438766667
2016-06-20 13:16:58,0.0312
2016-06-20 15:47:58,6.063216667
2016-06-20 15:48:58,1.8725
2016-06-20 21:05:58,5.244033333
2016-06-20 21:06:58,0.865033333
2016-06-20 23:45:58,4.814283333
2016-06-20 23:46:58,1.6043
2016-06-21 02:24:58,5.008566667
2016-06-21 02:25:58,0.440116667
2016-06-21 10:15:58,4.713533333
2016-06-21 10:16:58,0.37905
2016-06-21 12:52:58,0.258433333
2016-06-21 15:25:58,6.6428
2016-06-21 15:26:58,0.36235
2016-06-24 14:16:58,6.169116667
2016-06-24 14:17:58,1.691266667
2016-06-24 14:25:58,3.136616667
2016-06-24 14:27:58,0.5603
2016-06-24 14:28:58,3.732066667
2016-06-24 15:35:58,3.39365
2016-06-24 17:32:58,6.59695
2016-06-24 17:33:58,1.790466667
2016-06-24 17:46:58,0.609733333
2016-06-24 18:11:58,3.69925
2016-06-24 18:24:58,5.855316667
2016-06-28 21:12:58,3.571666667
2016-06-28 21:18:58,5.521583333
2016-06-28 21:19:58,1.0775
2016-07-02 14:20:58,4.198266667
2016-07-02 14:36:58,4.206383333
2016-07-02 14:47:58,0.000183333
2016-07-02 14:54:58,5.231583333
2016-07-02 14:55:58,0.156683333
2016-07-04 12:27:58,7.2024
2016-07-04 12:28:58,3.153883333
2016-07-04 12:31:58,6.316166667
2016-07-04 12:32:58,0.8196
2016-07-04 12:52:58,4.1557
2016-07-04 12:53:58,1.45045
2016-07-04 13:00:58,4.593366667
2016-07-04 13:23:58,5.75315
2016-07-04 13:24:58,0.786633333
2016-07-04 13:32:58,0.6707
2016-07-04 13:41:58,5.334533333
2016-07-04 13:49:58,4.9551
2016-07-04 13:50:58,1.059933333
2016-07-04 14:00:58,0.613966667
2016-07-04 14:13:58,0.8127
2016-07-04 14:15:58,4.797533333
2016-07-04 14:16:58,1.224633333
2016-07-04 14:18:58,5.1111
2016-07-04 14:19:58,0.77135
2016-07-04 14:29:58,5.445466667
2016-07-04 14:30:58,0.7917
2016-07-04 14:35:58,4.9666
2016-07-04 14:46:58,3.548983333
2016-07-04 14:53:58,5.699466667
2016-07-04 14:54:58,0.74385
2016-07-04 15:04:58,4.792883333
2016-07-06 20:11:58,3.931583333
2016-07-06 20:15:58,3.7179
2016-07-06 20:26:58,5.940616667
2016-07-06 20:44:58,0.64635
2016-07-06 20:47:58,0.778633333
2016-07-06 20:58:58,5.876166667
